Title,Rating,Overview
DC's Legends of Tomorrow,6.8,"Time-traveling rogue Rip Hunter must recruit a ragtag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time."
Married... with Children,8.1,"Al is the quintessential working class dad. Peggy, his wife, always wants more from him. With their children, they go through the highs and lows of ordinary life."
Justified,8.6,"Enforcing his own brand of justice, US Marshal Raylan, a strong-willed, quiet law-man haunted by his past, returns to his native town to see that justice is served to those in need."
Shadow and Bone,7.6,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.
My Name Is Earl,7.8,"A ne'er do well wins $100,000 in the lottery and decides to right all the wrongs from his past with his newfound realization!"
The Man in the High Castle,7.9,"In a dystopian America dominated by Nazi Germany and Imperial Japan, a young woman discovers a mysterious film that may hold the key to toppling the totalitarian regimes."
The Americans,8.4,"At the height of the Cold War, two Russian agents pose as the average American couple, complete with family."
The Leftovers,8.3,"Three years after the disappearance of 2% of the global human population, a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event."
SpongeBob SquarePants,8.2,"The misadventures of a talking sea sponge who works at a fast food restaurant, attends a boating school, and lives in an underwater pineapple."
The Good Doctor,8.0,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital."
Misfits,8.2,A group of young offenders doing community service gets struck by lightning during a storm and start to develop superpowers.
Oz,8.7,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.
Adventure Time,8.6,"A twelve-year-old boy and his best friend, a wise twenty-eight-year-old dog with magical powers, go on a series of surreal adventures in a remote future."
Lost in Space,7.3,"After crash-landing on an alien planet, the Robinson family fight against all odds to survive and escape, but they're surrounded by hidden dangers."
Chilling Adventures of Sabrina,7.4,"As her 16th birthday nears, Sabrina Spellman must reconcile her dual nature as a half-witch, half-mortal while fighting the evil forces that threaten her, her family, and the daylight world humans inhabit."
Psych,8.4,"When a novice sleuth convinces the police he has psychic powers, he and his reluctant best friend are hired on as consultants to help solve complicated cases."
2 Broke Girls,6.6,Two young women waitressing at a greasy spoon diner strike up an unlikely friendship in the hopes of launching a successful business - if only they can raise the cash.
Russian Doll,7.7,A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.
1899,7.3,Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.
The Terminal List,7.9,A former Navy SEAL officer investigates why his entire platoon was ambushed during a high-stakes covert mission.
Making a Murderer,8.6,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime."
Billions,8.4,"New money means no mercy as Mike Prince takes the Axe Capital throne. Chuck Rhoades is convinced no one should have that much wealth - or power. As all the players seek out new alliances, only one thing's for certain - wealth means war."
Designated Survivor,7.5,A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.
Stargate SG-1,8.4,"A secret military team, SG-1, is formed to explore other planets through the recently discovered Stargates."
American Crime Story,8.4,An anthology series centered around America's most notorious crimes and criminals.
Atypical,8.2,"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, which sets Sam's mom on her own life-changing path as her son seeks more independence."
Fawlty Towers,8.8,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away."
The Night Manager,8.0,The night manager of a Cairo hotel is recruited to infiltrate an arms dealer's inner circle.
Leyla and Mecnun,9.1,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
The Orville,8.0,"Set 400 years in the future, finds the crew of the U.S.S. Orville continuing their mission of exploration, as they navigate both the mysteries of the universe and the complexities of their own interpersonal relationships."
Dead to Me,8.0,A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.
Legion,8.2,"David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter he discovers special powers that will change his life forever."
Beef,8.1,Two people let a road rage incident burrow into their minds and slowly consume their every thought and action.
The O.C.,7.5,"A troubled youth becomes embroiled in the lives of a close-knit group of people in the wealthy, upper-class neighborhood of Newport Beach, Orange County, California."
The Family Man,8.7,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
Last Week Tonight with John Oliver,8.9,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.
Locke & Key,7.3,"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death."
Falling Skies,7.1,Survivors of an alien attack on earth gather together to fight for their lives and fight back.
The Inbetweeners,8.4,Follows four friends and their antics during their final years of school.
See,7.6,"Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins are born with sight."
Sacred Games,8.5,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm."
Ray Donovan,8.3,"Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family."
